Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.589767
35.7495	0.952329
71.499	0.97182
107.249	1.00281
142.998	1.04543
178.748	1.08748
214.497	1.11998
250.247	1.15307
285.996	1.19917
321.746	1.23079
357.495	1.27384
393.245	1.31289
428.994	1.35966
464.744	1.40513
500.493	1.44028
536.243	1.49018
571.992	1.53001
607.742	1.56296
643.491	1.60023
679.241	1.67096
714.99	1.71298
750.74	1.74601
786.489	1.77747
822.239	1.81467
857.988	1.86706
893.738	1.92473
929.487	1.95438
965.237	1.96804
1000.99	1.98383
1036.74	1.99813
1072.49	2.04586
1108.23	2.05663
1143.98	2.07172
1179.73	2.09177
1215.48	2.11493
1251.23	2.11571
1286.98	2.12338
1322.73	2.15884
1358.48	2.15184
1394.23	2.10566
1429.98	2.08102
1465.73	2.05134
1501.48	2.04608
1537.23	2.04185
1572.98	1.99548
1608.73	1.94665
1644.48	1.90682
1680.23	1.84278
1715.98	1.80608
1751.73	1.70327
1787.48	1.60137
1823.23	1.5311
1858.97	1.44567
1894.72	1.36031
1930.47	1.26025
1966.22	1.16938
2001.97	1.09045
2037.72	0.991826
2073.47	0.886582
2109.22	0.778101
2144.97	0.690855
2180.72	0.594866
2216.47	0.511773
2252.22	0.415525
2287.97	0.345079
2323.72	0.277401
2359.47	0.219407
2395.22	0.167437
2430.97	0.130073
2466.72	0.0933463
2502.47	0.0668363
2538.22	0.0487121
2573.96	0.0351264
2609.71	0.0234175
2645.46	0.016341
2681.21	0.0117196
2716.96	0.00909354
2752.71	0.00582293
2788.46	0.00407847
2824.21	0.00289814
2859.96	0.00234996
2895.71	0.00297098
2931.46	0.00172381
2967.21	0.000726754
3002.96	0.000690716
3038.71	0.000893636
3074.46	0.00084034
3110.21	0.000168587
3145.96	0.000661219
3181.71	0.000116301
3217.46	0.000207699
3253.21	0
3288.96	0
3324.7	0
3360.45	0
3396.2	0
3431.95	0
3467.7	0
3503.45	0
3539.2	0
