Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.536774
50.1193	0.822344
100.239	0.831237
150.358	0.86402
200.477	0.895679
250.597	0.916123
300.716	0.941193
350.835	0.971056
400.955	0.990119
451.074	1.01619
501.193	1.03881
551.313	1.06478
601.432	1.09704
651.551	1.12756
701.671	1.15489
751.79	1.18271
801.91	1.21474
852.029	1.26537
902.148	1.29155
952.268	1.32717
1002.39	1.36074
1052.51	1.39015
1102.63	1.42153
1152.74	1.44562
1202.86	1.48234
1252.98	1.51322
1303.1	1.56248
1353.22	1.60616
1403.34	1.63336
1453.46	1.65605
1503.58	1.70183
1553.7	1.73161
1603.82	1.75812
1653.94	1.77143
1704.06	1.79444
1754.18	1.80045
1804.3	1.82051
1854.42	1.8399
1904.54	1.86072
1954.65	1.87536
2004.77	1.87999
2054.89	1.87955
2105.01	1.88209
2155.13	1.85531
2205.25	1.88065
2255.37	1.87027
2305.49	1.85611
2355.61	1.83289
2405.73	1.82793
2455.85	1.78091
2505.97	1.7434
2556.09	1.70527
2606.21	1.69098
2656.33	1.66144
2706.44	1.61325
2756.56	1.55537
2806.68	1.49653
2856.8	1.42895
2906.92	1.3743
2957.04	1.32026
3007.16	1.26477
3057.28	1.19675
3107.4	1.12471
3157.52	1.02934
3207.64	0.978116
3257.76	0.883748
3307.88	0.818731
3358	0.738996
3408.12	0.651522
3458.23	0.587234
3508.35	0.521485
3558.47	0.457906
3608.59	0.384796
3658.71	0.321433
3708.83	0.276171
3758.95	0.22638
3809.07	0.186213
3859.19	0.14803
3909.31	0.122903
3959.43	0.0907245
4009.55	0.0670136
4059.67	0.0525228
4109.79	0.0431125
4159.91	0.0312762
4210.03	0.0217219
4260.14	0.0165337
4310.26	0.0105849
4360.38	0.00983369
4410.5	0.00885027
4460.62	0.00576288
4510.74	0.00377853
4560.86	0.00146613
4610.98	0.00131884
4661.1	0.0016087
4711.22	0.00131934
4761.34	0.000891782
4811.46	0.000579261
4861.58	0.000565165
4911.7	0.000273308
4961.82	0.000172839
