Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.49693
14.0636	0.968011
28.1272	0.993851
42.1908	1.02578
56.2544	1.06303
70.318	1.10149
84.3816	1.12758
98.4452	1.15989
112.509	1.19494
126.572	1.24392
140.636	1.27632
154.7	1.29886
168.763	1.32859
182.827	1.367
196.89	1.3943
210.954	1.44716
225.018	1.49108
239.081	1.51502
253.145	1.54893
267.208	1.60352
281.272	1.65431
295.336	1.69197
309.399	1.71643
323.463	1.75068
337.526	1.7962
351.59	1.82427
365.654	1.86061
379.717	1.86886
393.781	1.89423
407.845	1.93492
421.908	1.96311
435.972	1.97953
450.035	2.01214
464.099	2.02931
478.163	2.04349
492.226	2.04463
506.29	2.05804
520.353	2.06417
534.417	2.05721
548.481	2.07198
562.544	2.07077
576.608	2.04126
590.671	2.03706
604.735	2.01576
618.799	1.98299
632.862	1.95842
646.926	1.9125
660.989	1.85848
675.053	1.81395
689.117	1.73513
703.18	1.68334
717.244	1.58502
731.307	1.53762
745.371	1.46786
759.435	1.35247
773.498	1.27049
787.562	1.17977
801.625	1.08672
815.689	0.988996
829.753	0.885608
843.816	0.783801
857.88	0.685002
871.943	0.595091
886.007	0.507565
900.071	0.427485
914.134	0.360213
928.198	0.284055
942.261	0.229657
956.325	0.18466
970.389	0.140899
984.452	0.108901
998.516	0.0851862
1012.58	0.0591286
1026.64	0.0369208
1040.71	0.0269982
1054.77	0.0189286
1068.83	0.0120523
1082.9	0.00862907
1096.96	0.00556602
1111.02	0.0045402
1125.09	0.00230617
1139.15	0.000999537
1153.22	0.00139734
1167.28	0.00102396
1181.34	0.000865033
1195.41	0.000173672
1209.47	0.000366728
1223.53	0.000126373
1237.6	0.000157254
1251.66	0.000316624
1265.72	0.000108766
1279.79	0.00017119
1293.85	0.000210155
1307.92	0
1321.98	0
1336.04	0
1350.11	0
1364.17	0
1378.23	0
1392.3	0
