Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.537848
18.7243	0.982384
37.4485	1.00001
56.1728	1.0342
74.897	1.05758
93.6213	1.10856
112.346	1.13832
131.07	1.1602
149.794	1.19888
168.518	1.21718
187.243	1.26011
205.967	1.30669
224.691	1.32805
243.415	1.37227
262.14	1.41378
280.864	1.46474
299.588	1.49848
318.312	1.55176
337.037	1.58543
355.761	1.60958
374.485	1.6638
393.209	1.71044
411.934	1.75365
430.658	1.80658
449.382	1.84114
468.107	1.87556
486.831	1.89267
505.555	1.93366
524.279	1.96732
543.004	1.97583
561.728	2.00002
580.452	2.04276
599.176	2.04685
617.901	2.08533
636.625	2.08197
655.349	2.08829
674.073	2.10614
692.798	2.11268
711.522	2.08633
730.246	2.08814
748.97	2.07733
767.695	2.06153
786.419	2.02977
805.143	1.9986
823.867	1.97095
842.592	1.94097
861.316	1.88831
880.04	1.8556
898.765	1.79262
917.489	1.74111
936.213	1.67295
954.937	1.58175
973.662	1.50686
992.386	1.41065
1011.11	1.28634
1029.83	1.21518
1048.56	1.11225
1067.28	1.04503
1086.01	0.934639
1104.73	0.827276
1123.46	0.727131
1142.18	0.633841
1160.9	0.554985
1179.63	0.448919
1198.35	0.383462
1217.08	0.317007
1235.8	0.251044
1254.53	0.195517
1273.25	0.145299
1291.97	0.11166
1310.7	0.080515
1329.42	0.0574079
1348.15	0.0430248
1366.87	0.030806
1385.6	0.0237096
1404.32	0.0176965
1423.04	0.00995791
1441.77	0.00854003
1460.49	0.00787589
1479.22	0.00600955
1497.94	0.0034358
1516.67	0.00256728
1535.39	0.000976265
1554.11	0.000607588
1572.84	0.000667473
1591.56	0.000311058
1610.29	0.000378561
1629.01	0.000133022
1647.73	0.000251535
1666.46	0.000402198
1685.18	0.000570935
1703.91	0.000332993
1722.63	0
1741.36	0
1760.08	0
1778.8	0
1797.53	0
1816.25	0
1834.98	0
1853.7	0
