Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.610917
67.8405	0.868048
135.681	0.881867
203.522	0.913861
271.362	0.944816
339.203	0.97187
407.043	1.002
474.884	1.03923
542.724	1.06702
610.565	1.08876
678.405	1.11792
746.246	1.14017
814.086	1.17615
881.927	1.21098
949.767	1.24002
1017.61	1.27343
1085.45	1.31784
1153.29	1.36882
1221.13	1.39573
1288.97	1.43212
1356.81	1.45802
1424.65	1.50705
1492.49	1.53692
1560.33	1.56556
1628.17	1.60354
1696.01	1.65001
1763.85	1.69299
1831.69	1.69767
1899.53	1.72811
1967.37	1.76738
2035.22	1.79035
2103.06	1.79277
2170.9	1.80737
2238.74	1.84662
2306.58	1.87187
2374.42	1.88907
2442.26	1.91955
2510.1	1.95302
2577.94	1.96027
2645.78	1.95833
2713.62	1.96007
2781.46	1.97355
2849.3	1.95853
2917.14	1.93268
2984.98	1.90836
3052.82	1.90397
3120.66	1.87396
3188.5	1.86258
3256.34	1.82479
3324.19	1.80687
3392.03	1.74925
3459.87	1.70637
3527.71	1.64249
3595.55	1.60944
3663.39	1.53912
3731.23	1.48161
3799.07	1.42346
3866.91	1.33476
3934.75	1.28859
4002.59	1.17463
4070.43	1.11207
4138.27	1.02854
4206.11	0.941889
4273.95	0.854865
4341.79	0.773389
4409.63	0.693705
4477.47	0.602553
4545.31	0.527066
4613.16	0.451743
4681	0.387759
4748.84	0.326878
4816.68	0.268658
4884.52	0.223767
4952.36	0.185463
5020.2	0.14091
5088.04	0.113765
5155.88	0.0895807
5223.72	0.0647153
5291.56	0.0509783
5359.4	0.0385442
5427.24	0.0295867
5495.08	0.0225985
5562.92	0.0157158
5630.76	0.010067
5698.6	0.00655889
5766.44	0.00637768
5834.28	0.00575889
5902.12	0.003794
5969.97	0.00242442
6037.81	0.00135553
6105.65	0.00172075
6173.49	0.00147356
6241.33	0.000437659
6309.17	0.000720203
6377.01	0.000313399
6444.85	0.000425185
6512.69	0.000316336
6580.53	0.000238656
6648.37	6.21968e-05
6716.21	9.62835e-05
