Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.557112
23.5812	0.973278
47.1625	0.992831
70.7437	1.02682
94.325	1.06232
117.906	1.09381
141.487	1.12364
165.069	1.16583
188.65	1.18761
212.231	1.22516
235.812	1.26572
259.394	1.29703
282.975	1.33278
306.556	1.37529
330.137	1.40641
353.719	1.44884
377.3	1.48883
400.881	1.53029
424.462	1.57118
448.044	1.62825
471.625	1.6743
495.206	1.69642
518.787	1.73569
542.369	1.75622
565.95	1.78402
589.531	1.8249
613.112	1.86188
636.694	1.91419
660.275	1.93705
683.856	1.94776
707.437	1.97845
731.019	2.00329
754.6	2.0111
778.181	2.03329
801.762	2.04031
825.344	2.06509
848.925	2.0671
872.506	2.09075
896.087	2.09047
919.669	2.06776
943.25	2.03551
966.831	2.02073
990.412	2.03901
1013.99	2.01365
1037.57	1.98699
1061.16	1.93651
1084.74	1.88896
1108.32	1.8482
1131.9	1.78807
1155.48	1.71827
1179.06	1.66957
1202.64	1.60706
1226.22	1.4937
1249.81	1.42794
1273.39	1.34605
1296.97	1.25704
1320.55	1.17068
1344.13	1.0851
1367.71	0.96515
1391.29	0.87198
1414.87	0.775697
1438.46	0.690719
1462.04	0.581591
1485.62	0.488277
1509.2	0.424237
1532.78	0.347261
1556.36	0.290674
1579.94	0.232877
1603.52	0.174301
1627.11	0.13283
1650.69	0.0954046
1674.27	0.0696318
1697.85	0.0502715
1721.43	0.037258
1745.01	0.0261421
1768.59	0.0214097
1792.17	0.0152335
1815.76	0.0108842
1839.34	0.00683686
1862.92	0.005776
1886.5	0.00423793
1910.08	0.00304738
1933.66	0.00234821
1957.24	0.00189408
1980.82	0.00194396
2004.41	0.00148411
2027.99	0.00136339
2051.57	0.000560674
2075.15	0.000463893
2098.73	0.000159386
2122.31	0.000160522
2145.89	0.000123577
2169.47	0.000199402
2193.06	0.000213303
2216.64	0.000156738
2240.22	0.000440616
2263.8	0.000493943
2287.38	0.00015131
2310.96	0
2334.54	0
