Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.428235
9.78874	0.923919
19.5775	0.941538
29.3662	0.976999
39.155	0.998233
48.9437	1.0267
58.7324	1.06366
68.5212	1.08574
78.3099	1.1204
88.0987	1.15597
97.8874	1.1801
107.676	1.19766
117.465	1.2332
127.254	1.2794
137.042	1.31234
146.831	1.35314
156.62	1.38302
166.409	1.4287
176.197	1.44792
185.986	1.48527
195.775	1.51926
205.564	1.56342
215.352	1.59865
225.141	1.64997
234.93	1.68416
244.718	1.73242
254.507	1.76465
264.296	1.81003
274.085	1.84465
283.873	1.87868
293.662	1.88368
303.451	1.91648
313.24	1.94601
323.028	1.96252
332.817	1.97461
342.606	1.9895
352.395	2.01488
362.183	2.02453
371.972	2.03669
381.761	2.01106
391.55	2.01804
401.338	2.0115
411.127	2.00201
420.916	1.98554
430.705	1.96402
440.493	1.91539
450.282	1.88919
460.071	1.87089
469.86	1.83136
479.648	1.77205
489.437	1.71147
499.226	1.6602
509.014	1.61252
518.803	1.55216
528.592	1.47476
538.381	1.38923
548.169	1.32921
557.958	1.23939
567.747	1.13156
577.536	1.05492
587.324	0.99171
597.113	0.880423
606.902	0.78762
616.691	0.700557
626.479	0.619054
636.268	0.533546
646.057	0.44807
655.846	0.386624
665.634	0.322698
675.423	0.256004
685.212	0.201108
695.001	0.165936
704.789	0.129717
714.578	0.0932459
724.367	0.0659413
734.155	0.0537866
743.944	0.0354605
753.733	0.0248803
763.522	0.016281
773.31	0.0118437
783.099	0.0113859
792.888	0.00543467
802.677	0.00343995
812.465	0.00396591
822.254	0.00177739
832.043	0.00152039
841.832	0.00121485
851.62	0.000824553
861.409	0.000551815
871.198	0.000244615
880.987	0.000118742
890.775	9.83259e-05
900.564	5.68642e-05
910.353	0.00013114
920.142	9.35539e-05
929.93	0.000245765
939.719	0.000288716
949.508	0.00043668
959.296	0.000207155
969.085	7.16515e-05
