Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.636846
50.3102	0.954826
100.62	0.976528
150.931	1.01916
201.241	1.04346
251.551	1.08457
301.861	1.11975
352.172	1.15536
402.482	1.19204
452.792	1.23325
503.102	1.27185
553.413	1.3155
603.723	1.36183
654.033	1.39819
704.343	1.43234
754.654	1.47533
804.964	1.50739
855.274	1.56198
905.584	1.61157
955.895	1.65904
1006.2	1.7029
1056.52	1.7521
1106.83	1.78805
1157.14	1.82668
1207.45	1.88594
1257.76	1.92401
1308.07	1.96535
1358.38	2.00758
1408.69	2.05019
1459	2.05912
1509.31	2.10998
1559.62	2.12679
1609.93	2.13885
1660.24	2.1361
1710.55	2.17378
1760.86	2.18844
1811.17	2.18832
1861.48	2.18848
1911.79	2.18469
1962.1	2.15317
2012.41	2.15371
2062.72	2.12738
2113.03	2.11377
2163.34	2.06002
2213.65	2.00979
2263.96	1.93644
2314.27	1.88993
2364.58	1.79312
2414.89	1.75263
2465.2	1.69166
2515.51	1.59924
2565.82	1.50596
2616.13	1.41009
2666.44	1.3016
2716.75	1.21988
2767.06	1.12539
2817.37	1.03278
2867.68	0.932026
2917.99	0.829234
2968.3	0.737122
3018.61	0.620072
3068.93	0.522876
3119.24	0.445132
3169.55	0.375791
3219.86	0.309929
3270.17	0.235877
3320.48	0.185255
3370.79	0.140785
3421.1	0.101642
3471.41	0.0801654
3521.72	0.0572409
3572.03	0.0366758
3622.34	0.02751
3672.65	0.0211537
3722.96	0.0144073
3773.27	0.0108784
3823.58	0.00867809
3873.89	0.00676408
3924.2	0.00520752
3974.51	0.00326
4024.82	0.00206285
4075.13	0.00135835
4125.44	0.00101615
4175.75	0.000667447
4226.06	0.000237133
4276.37	0.000269411
4326.68	0.000707982
4376.99	0.000431596
4427.3	0.000469842
4477.61	0.000351216
4527.92	0
4578.23	0
4628.54	0
4678.85	0
4729.16	0
4779.47	0
4829.78	0
4880.09	0
4930.4	0
4980.71	0
