Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.547657
28.5564	0.936869
57.1129	0.955052
85.6693	0.98093
114.226	1.02258
142.782	1.05763
171.339	1.08374
199.895	1.1172
228.451	1.16119
257.008	1.20265
285.564	1.23011
314.121	1.26906
342.677	1.2818
371.234	1.32438
399.79	1.3651
428.346	1.40313
456.903	1.45125
485.459	1.48839
514.016	1.52306
542.572	1.56115
571.129	1.59327
599.685	1.6486
628.242	1.67952
656.798	1.71397
685.354	1.75056
713.911	1.78113
742.467	1.80899
771.024	1.84075
799.58	1.88148
828.137	1.91183
856.693	1.94347
885.249	1.96429
913.806	2.0001
942.362	2.00539
970.919	2.01098
999.475	2.03084
1028.03	2.02602
1056.59	2.0356
1085.14	2.03837
1113.7	2.04914
1142.26	2.0605
1170.81	2.04484
1199.37	2.02928
1227.93	2.0064
1256.48	1.96289
1285.04	1.92439
1313.6	1.89682
1342.15	1.84699
1370.71	1.80304
1399.27	1.72073
1427.82	1.68795
1456.38	1.62156
1484.93	1.53496
1513.49	1.45671
1542.05	1.4161
1570.6	1.3231
1599.16	1.24297
1627.72	1.16747
1656.27	1.05748
1684.83	0.9602
1713.39	0.871744
1741.94	0.779669
1770.5	0.693142
1799.06	0.61387
1827.61	0.517378
1856.17	0.439306
1884.72	0.366985
1913.28	0.309163
1941.84	0.237938
1970.39	0.185542
1998.95	0.144613
2027.51	0.110325
2056.06	0.0793413
2084.62	0.0592103
2113.18	0.0453912
2141.73	0.0302402
2170.29	0.0217189
2198.85	0.0168491
2227.4	0.0122012
2255.96	0.00836565
2284.51	0.00428611
2313.07	0.00233431
2341.63	0.00236963
2370.18	0.00258884
2398.74	0.00163861
2427.3	0.000609668
2455.85	0.000379381
2484.41	0.000464071
2512.97	0.000370328
2541.52	0.0002188
2570.08	0.000142316
2598.64	0
2627.19	0
2655.75	0
2684.3	0
2712.86	0
2741.42	0
2769.97	0
2798.53	0
2827.09	0
