Catholuminescence by Depth
Depth (nm)	CL Intensity (%)
0	0.712353
68.4814	1.00124
136.963	1.02669
205.444	1.06591
273.925	1.09428
342.407	1.13726
410.888	1.17445
479.37	1.21112
547.851	1.25892
616.332	1.29983
684.814	1.33187
753.295	1.38537
821.776	1.409
890.258	1.46019
958.739	1.49933
1027.22	1.53204
1095.7	1.5888
1164.18	1.63002
1232.66	1.67604
1301.15	1.72375
1369.63	1.78592
1438.11	1.84859
1506.59	1.88103
1575.07	1.93102
1643.55	1.97045
1712.03	1.99783
1780.52	2.04296
1849	2.06683
1917.48	2.11575
1985.96	2.12978
2054.44	2.16257
2122.92	2.19931
2191.4	2.23192
2259.89	2.22036
2328.37	2.2356
2396.85	2.24398
2465.33	2.2487
2533.81	2.23298
2602.29	2.20647
2670.77	2.21082
2739.25	2.17004
2807.74	2.15527
2876.22	2.11214
2944.7	2.05959
3013.18	1.97795
3081.66	1.91299
3150.14	1.83572
3218.62	1.76302
3287.11	1.68919
3355.59	1.59779
3424.07	1.50038
3492.55	1.39999
3561.03	1.31567
3629.51	1.21295
3697.99	1.11331
3766.48	0.972858
3834.96	0.867056
3903.44	0.777977
3971.92	0.670784
4040.4	0.56728
4108.88	0.470174
4177.36	0.397239
4245.85	0.313436
4314.33	0.243049
4382.81	0.187024
4451.29	0.144256
4519.77	0.110296
4588.25	0.0803179
4656.73	0.0583627
4725.21	0.0400758
4793.7	0.026355
4862.18	0.0225368
4930.66	0.0145692
4999.14	0.0112588
5067.62	0.00848193
5136.1	0.00707305
5204.58	0.00351317
5273.07	0.00256195
5341.55	0.00264876
5410.03	0.00128925
5478.51	0.00105955
5546.99	0.000627671
5615.47	7.50468e-05
5683.95	7.95734e-05
5752.44	0.00012962
5820.92	0.000203878
5889.4	0
5957.88	0
6026.36	0
6094.84	0
6163.32	0
6231.8	0
6300.29	0
6368.77	0
6437.25	0
6505.73	0
6574.21	0
6642.69	0
6711.17	0
6779.66	0
